provider,engine,sampler,n_for_train,seed,dataset,accuracy,precision,recall,f1
openai,gpt-4,random,4,36,data/USPTO_R_text.csv,0.52,1.0,0.0588235294117647,0.1111111111111111
openai,gpt-4,random,4,42,data/USPTO_R_text.csv,0.49,0.5,0.0196078431372549,0.0377358490566037
openai,gpt-4,random,4,84,data/USPTO_R_text.csv,0.5,1.0,0.0196078431372549,0.0384615384615384
openai,gpt-4,random,4,200,data/USPTO_R_text.csv,0.51,0.75,0.0588235294117647,0.109090909090909
openai,gpt-4,random,4,12345,data/USPTO_R_text.csv,0.51,1.0,0.0392156862745098,0.0754716981132075
openai,gpt-3.5-turbo,random,6,36,data/USPTO_R_text.csv,0.54,0.6086956521739131,0.2745098039215686,0.3783783783783784
openai,gpt-3.5-turbo,random,6,42,data/USPTO_R_text.csv,0.51,0.5102040816326531,0.9803921568627452,0.6711409395973155
openai,gpt-3.5-turbo,random,6,84,data/USPTO_R_text.csv,0.55,0.5333333333333333,0.9411764705882352,0.6808510638297872
openai,gpt-3.5-turbo,random,6,200,data/USPTO_R_text.csv,0.51,0.5113636363636364,0.8823529411764706,0.6474820143884892
openai,gpt-3.5-turbo,random,6,12345,data/USPTO_R_text.csv,0.54,0.5294117647058824,0.8823529411764706,0.6617647058823529
openai,gpt-3.5-turbo,random,8,36,data/USPTO_R_text.csv,0.61,0.65,0.5098039215686274,0.5714285714285714
openai,gpt-3.5-turbo,random,8,42,data/USPTO_R_text.csv,0.51,0.5102040816326531,0.9803921568627452,0.6711409395973155
openai,gpt-3.5-turbo,random,8,84,data/USPTO_R_text.csv,0.51,0.51,1.0,0.6754966887417219
openai,gpt-3.5-turbo,random,8,200,data/USPTO_R_text.csv,0.52,0.7142857142857143,0.0980392156862745,0.1724137931034483
openai,gpt-3.5-turbo,random,8,12345,data/USPTO_R_text.csv,0.51,0.5111111111111111,0.9019607843137256,0.6524822695035462
openai,gpt-3.5-turbo,random,10,36,data/USPTO_R_text.csv,0.49,0.5,0.9607843137254902,0.6577181208053692
openai,gpt-3.5-turbo,random,10,42,data/USPTO_R_text.csv,0.48,0.4943820224719101,0.8627450980392157,0.6285714285714286
openai,gpt-3.5-turbo,random,10,84,data/USPTO_R_text.csv,0.59,0.6388888888888888,0.4509803921568627,0.5287356321839081
openai,gpt-3.5-turbo,random,10,200,data/USPTO_R_text.csv,0.52,0.5882352941176471,0.196078431372549,0.2941176470588235
openai,gpt-3.5-turbo,random,10,12345,data/USPTO_R_text.csv,0.52,0.5154639175257731,0.9803921568627452,0.6756756756756757
openai,gpt-4,random,6,36,data/USPTO_R_text.csv,0.53,0.8333333333333334,0.0980392156862745,0.175438596491228
openai,gpt-4,random,6,42,data/USPTO_R_text.csv,0.55,0.532608695652174,0.9607843137254902,0.6853146853146853
openai,gpt-4,random,6,84,data/USPTO_R_text.csv,0.56,0.5777777777777777,0.5098039215686274,0.5416666666666666
openai,gpt-4,random,6,200,data/USPTO_R_text.csv,0.55,0.5428571428571428,0.7450980392156863,0.628099173553719
openai,gpt-4,random,6,12345,data/USPTO_R_text.csv,0.56,0.5538461538461539,0.7058823529411765,0.6206896551724138
openai,gpt-4,random,8,36,data/USPTO_R_text.csv,0.56,0.6842105263157895,0.2549019607843137,0.3714285714285714
openai,gpt-4,random,8,42,data/USPTO_R_text.csv,0.57,0.5476190476190477,0.9019607843137256,0.6814814814814815
openai,gpt-4,random,8,84,data/USPTO_R_text.csv,0.53,0.5204081632653061,1.0,0.6845637583892618
openai,gpt-4,random,8,200,data/USPTO_R_text.csv,0.53,1.0,0.0784313725490196,0.1454545454545454
openai,gpt-4,random,8,12345,data/USPTO_R_text.csv,0.54,0.5268817204301075,0.9607843137254902,0.6805555555555556
openai,gpt-4,random,10,36,data/USPTO_R_text.csv,0.51,0.51,1.0,0.6754966887417219
openai,gpt-4,random,10,42,data/USPTO_R_text.csv,0.57,0.5540540540540541,0.803921568627451,0.656
openai,gpt-4,random,10,84,data/USPTO_R_text.csv,0.53,0.75,0.1176470588235294,0.2033898305084746
openai,gpt-4,random,10,200,data/USPTO_R_text.csv,0.5,0.5555555555555556,0.0980392156862745,0.1666666666666666
openai,gpt-4,random,10,12345,data/USPTO_R_text.csv,0.51,0.51,1.0,0.6754966887417219
